album,file,genre,native_sr,hf_edge
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,102-gorillaz-the_moon_cave.flac,Alt,44100,19121
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,103-gorillaz-the_happy_dictator.flac,Alt,44100,20284
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,105-gorillaz-orange_county.flac,Alt,44100,18303
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,106-gorillaz-the_god_of_lying.flac,Alt,44100,17937
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,107-gorillaz-the_empty_dream_machine.flac,Alt,44100,18723
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,108-gorillaz-the_manifesto.flac,Alt,44100,19369
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,109-gorillaz-the_plastic_guru.flac,Alt,44100,18690
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,110-gorillaz-delirium.flac,Alt,44100,18066
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,112-gorillaz-the_shadowy_light.flac,Alt,44100,18949
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,113-gorillaz-casablanca.flac,Alt,44100,17915
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,114-gorillaz-the_sweet_prince.flac,Alt,44100,19196
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,115-gorillaz-the_sad_god.flac,Alt,44100,18830
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,201-gorillaz-bolly_noir.flac,Alt,44100,20251
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,202-gorillaz-noahs_descendants.flac,Alt,44100,19950
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,203-gorillaz-the_mountain.flac,Alt,44100,15654
Gorillaz-The_Mountain-DELUXE_EDITION-2CD-FLAC-2026-FATHEAD,204-gorillaz-meri_sapno_ki_rani.flac,Alt,44100,16117
Billy Strings - 2021 - Renewal (FLAC),01 - Know It All.flac,Bluegrass,44100,16817
Billy Strings - 2021 - Renewal (FLAC),02 - Secrets.flac,Bluegrass,44100,16860
Billy Strings - 2021 - Renewal (FLAC),03 - Love And Regret.flac,Bluegrass,44100,17280
Billy Strings - 2021 - Renewal (FLAC),04 - Heartbeat Of America.flac,Bluegrass,44100,16731
Billy Strings - 2021 - Renewal (FLAC),05 - In The Morning Light.flac,Bluegrass,44100,16935
Billy Strings - 2021 - Renewal (FLAC),06 - This Old World.flac,Bluegrass,44100,17269
Billy Strings - 2021 - Renewal (FLAC),07 - Show Me The Door.flac,Bluegrass,44100,16192
Billy Strings - 2021 - Renewal (FLAC),08 - Hellbender.flac,Bluegrass,44100,17291
Billy Strings - 2021 - Renewal (FLAC),09 - Red Daisy.flac,Bluegrass,44100,16559
Billy Strings - 2021 - Renewal (FLAC),10 - The Fire On My Tongue.flac,Bluegrass,44100,16849
Billy Strings - 2021 - Renewal (FLAC),11 - Nothing's Working.flac,Bluegrass,44100,16289
Billy Strings - 2021 - Renewal (FLAC),12 - Hide And Seek.flac,Bluegrass,44100,16978
Billy Strings - 2021 - Renewal (FLAC),13 - Ice Bridges.flac,Bluegrass,44100,16053
Billy Strings - 2021 - Renewal (FLAC),14 - Fire Line.flac,Bluegrass,44100,16268
Billy Strings - 2021 - Renewal (FLAC),15 - Running The Route.flac,Bluegrass,44100,16225
Billy Strings - 2021 - Renewal (FLAC),16 - Leaders.flac,Bluegrass,44100,16688
"Eiji Oue, Minnesota Orchestra - 2001 - Rachmaninoff Symphonic Dances",01 Symphonic Dances - Non Allegro.flac,Classical,96000,42234
"Eiji Oue, Minnesota Orchestra - 2001 - Rachmaninoff Symphonic Dances",02 Andante Con Moto.flac,Classical,96000,42234
"Eiji Oue, Minnesota Orchestra - 2001 - Rachmaninoff Symphonic Dances",03 Lento Assai.flac,Classical,96000,42234
"Eiji Oue, Minnesota Orchestra - 2001 - Rachmaninoff Symphonic Dances",04 Vocalise.flac,Classical,96000,42234
"Eiji Oue, Minnesota Orchestra - 2001 - Rachmaninoff Symphonic Dances",05 Etudes-Tableaux - The Sea And The Seagulls.flac,Classical,96000,42234
"Eiji Oue, Minnesota Orchestra - 2001 - Rachmaninoff Symphonic Dances",06 The Fair.flac,Classical,96000,42234
"Eiji Oue, Minnesota Orchestra - 2001 - Rachmaninoff Symphonic Dances",07 Funeral March.flac,Classical,96000,42234
"Eiji Oue, Minnesota Orchestra - 2001 - Rachmaninoff Symphonic Dances",08 Little Red Riding Hood And The Wolf.flac,Classical,96000,42234
"Eiji Oue, Minnesota Orchestra - 2001 - Rachmaninoff Symphonic Dances",09 March.flac,Classical,96000,42234
